Date,Close/Last,Volume,Open,High,Low
03/13/2026,$207.67,35662140,$209.605,$210.56,$206.22
03/12/2026,$209.53,44349500,$210.39,$211.71,$208.15
03/11/2026,$212.65,34199300,$215.705,$217.00,$211.35
03/10/2026,$214.33,35678830,$214.19,$215.65,$212.43
03/09/2026,$213.49,54642930,$210.45,$213.82,$207.11
03/06/2026,$213.21,51152720,$214.99,$217.32,$212.53
03/05/2026,$218.94,60943450,$215.98,$220.47,$215.59
03/04/2026,$216.82,54731100,$210.47,$217.54,$210.15
03/03/2026,$208.73,43184920,$203.10,$209.178,$202.48
03/02/2026,$208.39,46001010,$204.55,$209.73,$203.46
02/27/2026,$210.00,57422780,$206.83,$210.33,$205.20
02/26/2026,$207.92,47756770,$210.73,$211.05,$205.345
02/25/2026,$210.64,41346380,$210.46,$211.59,$208.93
02/24/2026,$208.56,41137160,$205.47,$210.36,$203.25
02/23/2026,$205.27,53581510,$208.095,$208.43,$203.11
02/20/2026,$210.11,65881610,$204.76,$211.17,$203.75
02/19/2026,$204.86,35669610,$203.80,$205.6396,$202.81
02/18/2026,$204.79,51003300,$202.07,$206.86,$201.51
02/17/2026,$201.15,69879200,$198.125,$201.7362,$196.00
02/13/2026,$198.79,66321590,$198.88,$201.16,$197.275
02/12/2026,$199.60,83975390,$203.96,$203.96,$197.56
02/11/2026,$204.08,65545460,$208.06,$208.57,$202.49
02/10/2026,$206.96,67175030,$208.795,$212.6499,$206.411
02/09/2026,$208.72,91178440,$208.97,$212.81,$203.35
02/06/2026,$210.32,179210900,$202.70,$211.44,$200.31
02/05/2026,$222.69,103509200,$224.91,$226.31,$220.38
02/04/2026,$232.99,51299950,$238.86,$238.86,$231.82
02/03/2026,$238.62,53831300,$244.975,$246.35,$235.45
02/02/2026,$242.96,37546100,$238.31,$245.6299,$238.17
01/30/2026,$239.30,46585020,$239.89,$243.315,$237.64
01/29/2026,$241.73,47229640,$242.82,$243.00,$236.742
01/28/2026,$243.01,40882660,$246.365,$247.775,$241.53
01/27/2026,$244.68,38029220,$239.685,$244.88,$238.08
01/26/2026,$238.42,32825530,$239.98,$240.95,$237.54
01/23/2026,$239.16,33778480,$234.955,$240.45,$234.57
01/22/2026,$234.34,31913330,$234.045,$235.72,$230.90
01/21/2026,$231.31,47276090,$231.085,$232.30,$226.88
01/20/2026,$231.00,47737850,$233.76,$235.09,$229.34
01/16/2026,$239.12,45888280,$239.085,$239.57,$236.41
01/15/2026,$238.18,43003570,$239.31,$240.65,$236.63
01/14/2026,$236.65,41410580,$241.15,$241.28,$236.22
01/13/2026,$242.60,38371780,$246.53,$247.66,$240.25
01/12/2026,$246.47,35867770,$246.73,$248.94,$245.96
01/09/2026,$247.38,34559960,$244.568,$247.86,$242.24
01/08/2026,$246.29,39509840,$243.06,$246.41,$241.88
01/07/2026,$241.56,42236530,$239.61,$245.29,$239.52
01/06/2026,$240.93,53764680,$232.10,$243.18,$232.07
01/05/2026,$233.06,49733350,$228.84,$234.00,$227.18
01/02/2026,$226.50,51456230,$231.34,$235.458,$224.70
12/31/2025,$230.82,24383750,$232.905,$232.99,$230.12
12/30/2025,$232.53,21910450,$231.205,$232.77,$230.20
12/29/2025,$232.07,19797910,$231.94,$232.60,$230.77
12/26/2025,$232.52,15994730,$232.035,$232.99,$231.18
12/24/2025,$232.38,11420540,$232.13,$232.95,$231.33
12/23/2025,$232.14,29230230,$229.055,$232.445,$228.73
12/22/2025,$228.43,32261330,$228.61,$229.48,$226.71
12/19/2025,$227.35,85544370,$226.76,$229.125,$225.58
12/18/2025,$226.76,50272420,$225.705,$229.225,$224.41
12/17/2025,$221.27,44034420,$224.655,$225.19,$220.99
12/16/2025,$222.56,39298860,$223.035,$223.66,$221.1304
12/15/2025,$222.54,47286090,$227.93,$227.93,$221.50
12/12/2025,$226.19,35639120,$229.87,$230.08,$225.12
12/11/2025,$230.28,28249600,$230.71,$232.11,$228.6901
12/10/2025,$231.78,38790740,$228.805,$232.42,$228.46
12/09/2025,$227.92,25841740,$226.84,$228.57,$225.11
12/08/2025,$226.89,35019170,$229.59,$230.83,$226.27
12/05/2025,$229.53,33117380,$230.32,$231.24,$228.547
12/04/2025,$229.11,45683220,$232.77,$233.50,$226.80
12/03/2025,$232.38,35495060,$233.35,$233.38,$230.61
12/02/2025,$234.42,45785360,$235.005,$238.97,$233.55
12/01/2025,$233.88,42903950,$233.22,$235.797,$232.25
11/28/2025,$233.22,20292330,$231.24,$233.285,$230.22
11/26/2025,$229.16,38497920,$230.74,$231.7474,$228.77
11/25/2025,$229.67,39379340,$226.38,$230.52,$223.80
11/24/2025,$226.28,54318400,$222.555,$227.33,$222.27
11/21/2025,$220.69,68490460,$216.345,$222.21,$215.18
11/20/2025,$217.14,50308960,$227.05,$227.41,$216.74
