Date,Close/Last,Volume,Open,High,Low
03/13/2026,$391.20,58504090,$399.165,$400.20,$389.95
03/12/2026,$395.01,60973790,$405.175,$406.50,$394.65
03/11/2026,$407.82,62559930,$402.28,$416.3799,$402.15
03/10/2026,$399.235,59258740,$402.22,$406.59,$398.19
03/09/2026,$398.68,67018910,$390.05,$401.59,$381.40
03/06/2026,$396.73,64054560,$398.09,$402.35,$394.21
03/05/2026,$405.55,51925900,$401.57,$408.62,$399.42
03/04/2026,$405.94,68305510,$397.845,$408.33,$394.58
03/03/2026,$392.43,62617300,$395.09,$396.34,$385.39
03/02/2026,$403.32,55088340,$390.60,$404.54,$388.25
02/27/2026,$402.51,56890100,$402.94,$407.12,$398.11
02/26/2026,$408.58,53602500,$414.42,$416.81,$403.66
02/25/2026,$417.40,54809700,$412.15,$420.34,$412.15
02/24/2026,$409.38,58579480,$399.50,$410.82,$397.64
02/23/2026,$399.83,69680030,$407.285,$407.70,$394.04
02/20/2026,$411.82,57912230,$408.30,$414.70,$405.50
02/19/2026,$411.71,51019640,$407.25,$415.2499,$404.11
02/18/2026,$411.32,45921400,$411.11,$416.90,$409.58
02/17/2026,$410.63,59678790,$412.36,$413.72,$400.51
02/13/2026,$417.44,51434150,$414.305,$424.06,$410.88
02/12/2026,$417.07,61933360,$430.30,$436.23,$414.00
02/11/2026,$428.27,57361990,$427.955,$436.35,$420.03
02/10/2026,$425.21,64450230,$418.08,$427.25,$417.00
02/09/2026,$417.32,54484260,$409.905,$421.25,$407.29
02/06/2026,$411.11,62677140,$400.87,$414.55,$397.751
02/05/2026,$397.21,72819840,$397.015,$402.10,$387.5309
02/04/2026,$406.01,74606870,$420.46,$423.90,$399.18
02/03/2026,$421.96,56886550,$424.27,$428.56,$413.6901
02/02/2026,$421.81,58739460,$421.29,$427.15,$414.50
01/30/2026,$430.41,82626070,$425.35,$439.88,$422.70
01/29/2026,$416.56,81686130,$437.80,$440.2299,$414.62
01/28/2026,$431.46,54857400,$431.91,$438.26,$430.10
01/27/2026,$430.90,37733080,$437.41,$437.52,$430.69
01/26/2026,$435.20,49397420,$445.00,$445.04,$434.28
01/23/2026,$449.06,56771360,$447.425,$452.43,$444.04
01/22/2026,$449.36,71546730,$435.16,$449.50,$432.6293
01/21/2026,$431.44,68123990,$421.66,$438.20,$419.6201
01/20/2026,$419.25,63187340,$429.36,$430.725,$417.44
01/16/2026,$437.50,60220550,$439.50,$447.25,$435.2601
01/15/2026,$438.57,49465810,$441.125,$445.36,$437.65
01/14/2026,$439.20,57259500,$442.81,$443.91,$434.22
01/13/2026,$447.20,53719210,$450.20,$451.81,$443.95
01/12/2026,$448.96,61649630,$441.225,$454.30,$438.00
01/09/2026,$445.01,67331460,$435.945,$449.05,$430.39
01/08/2026,$435.80,57041090,$427.89,$436.89,$424.365
01/07/2026,$431.41,59828790,$435.90,$438.37,$431.29
01/06/2026,$432.96,89093760,$446.38,$448.25,$428.78
